,tweets
0,Tadi pas kluar kantor pengen jln2 bolak SNY-FTM gt FTM-DKA MRT Batin gue kaya mnahan kinginan Akhirnya ga jd MRT pulang GR1 aja Trs sudirman nunggu KRL berasa goyang2 eh gempa Smpat mikir kalo seandainya gue MRT trs gempa
1,Beli mobil hrs syaratnya garasi ganjil genap udh bagus sihh perketat aja izinin yg polet nomer mrt perbanyak jalur Apalagi ya🤔
2,Sedih banget jakarta macet polusinya terburuk Sedih krn udh fasilitas kendaraan kyk tj/MRT bikin nyaman memudahkan tp berkurang ...
3,AskMF kebayang td pas gempa MRT kepikiran `` Kalo ambruk gue selamet gak ya '' Bener2 berasa bgt
4,gaenak badan udh janji ngajak anak untirta besok mrt ... doakan kuat
5,Cebong maksa MRT buatan Ahok Woy FOKE resmikan pencanangan pembangunan proyek MRT Fase I Koridor Utara-Selatan sepa…
6,Yang weekend mending dihabisin dg MRT kulineran nge-mall silahkeun~
7,Mrt dibaca merantau
8,MRT jakarta tahap nih tolong kontraktor SOWJ dilanjutkan ya biar kerja disitu
9,Kereta MRT berhenti beroperasi beroperasi headway delay menit detik
10,Ini min .Di jl asem Klo MRT turun cipete trs ojeg Namanya COFFEEVORA Ada coffee beer kopi susu 'Tikungan kopi susu pandan 'Komandan next ku fotoin Tmptnya asik bgt homey Buka sore Customer+yg ngebaur ngobrol2
11,"Gempa ,4 magnitudo berpusat Sumur Banten"
12,Gini nder data Dinas Lingkungan Hidup Jakarta polusi Jakarta sumbangan transportasi darat.…
13,Goresan cucuk canting kain batik meter peron Stasiun MRT Bundaran HI siang tanda dim…
14,Sehappy ituu bs nyetir jakarta tol km dr rumah Kalau pas lg tanggal ganjil tinggal cus mrt terjangkau dr rumah Yays
15,Untung nggak MRT Kalo pas gempa tanah gitu kayaknya panic attack deh
16,ya tp bs jd sumber polusi gabs dipungkirin kl jg salah penyebab kemacetan gamau krn angkutan jakarta msh memadai dr segi fasilitas pamer mrt krn bangga sm jakarta udh bs maju kedepan
17,pgn deh ads birthdaynya anak2 stasiun krl/mrt ’
18,Percepatan pembangunan LRT MRT KRL pajak mobil mewah ... Gimana mas
19,"Gempa ,4 SR Guncang Banten MRT Jakarta Sempat Berhenti Beroperasi"
20,"Gempa ,4 SR Guncang Banten MRT Jakarta Sempat Berhenti Beroperasi"
21,Aku abis cek up kaki skrg Mau jln jln mrt sm mom and dad️🧡 yey kereta
22,Goresan cucuk canting kain batik meter peron Stasiun MRT Bundaran HI siang tanda dim…
23,Boleh dah kot camni kat mrt
24,Mrt dibaca merantau
25,LRT MRT terbatas Trans Jakarta terbatas jangkauan layananannya Perluasan GaGen h…
26,Integrasikan sistemnya ovo gopay linkaja dana gtu wkwkwk OH YA Jenius MRT singapore aja pake Jenius Card wkwkwk Tapi kalo yg berbasis barcode gimana ya wkwkwk
27,Dulu pas apartemen surabaya tbtb gempa lari lt.31 skrg apartemen jakarta gempa lari dr lt.17 doang mah lari tangga mrt kalo udh buru2
28,gempa *di mrt Me Ka Ber gempa bokap gua Ber Ooo Just hm Me ... ... *orang2 kasak kusuk gempa *pada turun Me ka Ber serius ga turun Ber mati mah mati aja uda Just ntar masuk neraka jg the end nya S oke we die now B J S
29,Tiba-tiba MRT berhenti Tak pemberitahuan terkait penyebab berhentinya MRT
30,Pas tau venue.. jauh.. untungnya MRT yg utama.. gak udah pindah2 line.. huhu ... Mulai2 cari penginapan mrt ijo line ... Udah ber nih.. yg rame2 lg Hehe
31,Bisa kayak gini Kartu Bank yaudah nasabah bank tsb kayak gua td Kartu Subscription user yg gamau mikir Terakhir kartu single orang yg regular user Jd gaada tuh abang abang kartu bank stasiun MRT hihi
32,USED iPhone s Space Grey gb LL set FULLSET Price RM800 Warranty Sebulan by MyPhone Valley Cod Bangi Gateway C…
33,used iPhone Plus Red Product gb LL set FULLSET Price RM1630 Warranty Sebulan by MyPhone Valley Cod Bangi G…
34,LRT MRT terbatas Trans Jakarta terbatas jangkauan layananannya Perluasan GaGen h…
35,Terlalu berbelit belit TapCash BNI e-money Mandiri Flazz BCA mini market bayar admin isi Multi Trip MRT/KRL tempatnya Akankah sistem pembayaran yg beneran Gausah deh yg beneran gak nyusahin user
36,Teman MRT meningkatkan kenyamanan pengguna MRT Jakarta mari peduli menaati a…
37,Berdasarkan thread mas nyobain kulineran Psr Mayestik Ke psr Mayestik gampang2 ribed Bis…
38,Lenkap perjalanan Jtown to Surabaya Pulang pergi ... Mulai kendaraan ojek online pesawat bus damri ditutup MRT Hari Stasiun MRT Lebak Bulus
39,Lebih kayak single trip MRT/KRL lho Transjakarta single trip abis bayar loket kasih kartu trus masukin mesin suer gua saksi hidup Sayang aja tiadakan
40,stasiun MRT tanah ca n't relate
41,Iyaa ga halte jalan trs pintu sebelah kiri supir Kmrn udah cobain kaya blm tujuannya mrt wkwkwk
42,Berdasarkan thread mas nyobain kulineran Psr Mayestik Ke psr Mayestik gampang2 ribed Bis…
43,Transjakarta udah backbone nya orang berpindah rute armada mumpuni kawasan terjangkau banding KRL MRT orang rely on Tije berpindah
44,Berdasarkan thread mas nyobain kulineran Psr Mayestik Ke psr Mayestik gampang2 ribed Bis…
45,Jangankan MRT terimbas gempa Banten ibukota negara duluan KENA GEMPA pindah Kalimantan
46,Gini nder data Dinas Lingkungan Hidup Jakarta polusi Jakarta sumbangan transportasi darat.…
47,Sehubungan gempa bumi malam 2/8/19 Jakarta informasikan…
48,Pak Alvin Dengan GaGe yg skrg sdh perubahan pola transportasi warga Mereka yg plat-nya tdk sesuai harinya MRT TJ ComLine Dari rmh angkot/ojol stasiun/ halte terdekat Turun stasiun/halte terdekat kantornya ojol/ tal
49,Ada MRT praktis amp nyaman ... disiapkan JakLingko bus TransJakarta terintegrasi feeder bus ber-AC amp angkot.…
50,"Akibat Gempa Banten M ,4 Operasional MRT Sempat Berhenti Menit"
51,Mrt dibaca merantau
52,Sedangkan Jakarta 'tap kartu e-money Mau transjakarta MRT KRL Jaklingko angkot
53,Ternyata MRT ... Enak wkwk
54,heh *di mrt* a `` awas loh benci benci jd cinta kyk gw '' b `` apaansih anjir lo benci jd cinta gw benci…
55,LRT MRT terbatas Trans Jakarta terbatas jangkauan layananannya Perluasan GaGen h…
56,Pertama kali ngerasain MRT ... penak yo Coba kalo MRT kebon jeruk tujuan kemana
57,Heran dr bunderan HI ampe bunderan senayan macet nya parah aja smntara MRT kosong melompong Orang2 ga pengen manfaatin ya Masih seneng aja macet2an Trus klo frustasi ngambil jalur busway deh Edan
58,LRT MRT terbatas Trans Jakarta terbatas jangkauan layananannya Perluasan GaGen h…
59,kalo pas mrt
60,dimanakah letak korelasi gempa sby MRT jaman beliau 🤔
61,Aku mrt sampe berenti hahah..hmm tmnku ngepas bgt sign off ... bgt ga jey gi
62,Gempa Banten Operasional Kereta MRT Normal Kembali
63,Gempa Banten Operasional Kereta MRT Normal Kembali
64,Daphne Iking Suara train sebenar MRT LRT amp Komuter
65,LRT MRT terbatas Trans Jakarta terbatas jangkauan layananannya Perluasan GaGen h…
66,Tadi pas gempa MRT diberhentikan Trus gak kepikiran stasiun santai nunggu jalan ajah Kemudian malam bermalam lt.21 Dan besok paginya tetep jalan berenang..
67,Mantep commuter line mrt pas gempa berenti CL mah gas
68,Keluar mrt
69,Gempa Banten Operasional Kereta MRT Normal Kembali
70,Pukul :00 WIB Rupiah Semakin Lemah Rp 15/US Coba Ngingatin Aja Pak Jokow…
71,Gempa Banten Operasional Kereta MRT Normal Kembali
72,Sumber Lindu segmen Megathrust Selat Sunda dg potensi M8.7 Ayo berdoa semoga Lindu pembuka/Foreshock …
73,Pasti yg senayan bgt kan..td mrt st asean aja goyang '' ..haha aron vlive doong hahah
74,LRT MRT terbatas Trans Jakarta terbatas jangkauan layananannya Perluasan GaGen h…
75,QnA mrt pake kartu krl isi ulang ga kartu harian
76,Gempa Terasa Jakarta MRT Sempat Berhenti Menit
77,Makasihhh td udh plg mrt
78,Terus memilih pesen gojek stasiun mrt HI Tidak lupa duduk2 lalang orang menyeberang pullman Jujur seneng Besok2 beli jajan GI abis makannya pinggir jalan aja disarankan gelap sih tapi~
79,Satu satunya berlindung aman gempa kawasan Sudirman Tunnel MRT Pada mohon perlindungan Tower-tower berterbangan
80,Mas ngebangun proses Solusinya targetnya prosesnya uda berjalan Apa LRT MRT ERP yg skrg jd kebijakan Gub DKI utk pelaksanaannya dmn dl nya Jokowi Ahok yg Emang tukang sulap lgsg Nah sm kt jg nunggu solusi yg dipersiapkan anies
81,Lol i tergelak dlm mrt
82,ITU MRT WKWKWKWKWKWK
83,LRT MRT terbatas Trans Jakarta terbatas jangkauan layananannya Perluasan GaGen h…
84,LRT MRT terbatas Trans Jakarta terbatas jangkauan layananannya Perluasan GaGen h…
85,Kalau la kurus ni ... .. kolej mrt free je Kahkah
86,LRT MRT terbatas Trans Jakarta terbatas jangkauan layananannya Perluasan GaGen h…
