,tweets,id,len,date,source,likes,retweets,sentiment
0,@dinekaws jadwal yang ditandai warna merah hanya ada di hari libur tapi jadwal keberangkatan tetap mulai pukul 05.0… https://t.co/bPjRzIQsAS,1157708088352264193,140,2019-08-03 17:41:32,Twitter for iPhone,0,0,Positive
1,@ungskii Tidak ada kak,1157705067245424642,22,2019-08-03 17:29:31,Twitter for iPhone,0,0,Positive
2,"@softkkkk Masa berlaku 7 hari dari pembelian kartu atau top up 
Jadi masih bisa direfund kalau belum lewat dari 7 hari tersebut.",1157704861195964417,128,2019-08-03 17:28:42,Twitter for iPhone,0,0,Negative
3,Lalu kereta akan berjalan perlahan menuju stasiun selanjutnya dan para penumpang dimohon untuk turun lalu ikuti ara… https://t.co/1jq0RGNQyV,1157681599971917824,140,2019-08-03 15:56:16,Twitter for iPhone,7,3,Positive
4,"Kenali situasi yang akan terjadi di kereta, seperti kereta yang akan berhenti saat gempa bumi dan petugas di kereta… https://t.co/14ia2v2Y7h",1157681581307203584,140,2019-08-03 15:56:12,Twitter for iPhone,11,5,Negative
5,"Teman MRT saat terjadi gempa bumi mohon untuk tidak panik dan melakukan tindakan gegabah, mari ikuti instruksi petu… https://t.co/EXzhZjOQQj",1157681561661104128,140,2019-08-03 15:56:07,Twitter for iPhone,18,12,Negative
6,@dinekaws 05.06 kak,1157662024517554177,19,2019-08-03 14:38:29,Twitter for iPhone,0,0,Negative
7,"@deahidayasa @ifaalatifa Mohon maaf atas ketidaknyamanannya, akan kami sampaikan kepada divisi terkait.",1157661486723915776,103,2019-08-03 14:36:21,Twitter for iPhone,0,0,Positive
8,@dinekaws https://t.co/U4HpzbZtjt,1157660570864144384,33,2019-08-03 14:32:43,Twitter for iPhone,0,0,Negative
9,"@FYHR_19 @ifaalatifa Baik kak, Akan kami sampaikan kedivisi terkait.",1157623627933577217,68,2019-08-03 12:05:55,Twitter for iPhone,0,0,Positive
10,@doon1313 @ifaalatifa Sudah kak 🙂,1157623365336629249,33,2019-08-03 12:04:52,Twitter for iPhone,0,0,Positive
11,@doon1313 Kalau penuh engga kak tapi weekend lumayan ramai kak 🙂,1157622987572436992,64,2019-08-03 12:03:22,Twitter for iPhone,0,0,Negative
12,"@ifaalatifa Mohon maaf atas ketidaknyamanannya, mohon info kereta nomor berapa, keberangkatan pukul berapa dan arah… https://t.co/5l2pj2xy22",1157605461148884992,140,2019-08-03 10:53:43,Twitter for iPhone,3,0,Positive
13,"@muelpontoh Mohon maaf atas ketidaknyamanannya, akan kami sampaikan kepada divisi terkait untuk dievaluasi. terima kasih",1157515401682513920,120,2019-08-03 04:55:52,Twitter for iPhone,0,0,Positive
14,@hjmmy Sudah kembali normal ya kak,1157480648254226432,34,2019-08-03 02:37:46,Twitter for iPhone,0,0,Negative
15,Pagi ini operasional MRT Jakarta juga normal sesuai jadwal. #MRTJakarta https://t.co/6WriUvPbr4,1157479562801848320,95,2019-08-03 02:33:27,Twitter for iPhone,28,8,Positive
16,Berkaitan dengan gempa yang dirasakan di Jakarta semalam dan operasional MRT Jakarta sempat dihentikan sementara se… https://t.co/DlkPL3du1e,1157479552005726208,140,2019-08-03 02:33:24,Twitter for iPhone,175,75,Positive
17,"@hjmmy Iya kak, tim operasional MRT Jakarta sedang melakukan pemeriksaan.",1157471294075461632,73,2019-08-03 02:00:35,Twitter for iPhone,0,1,Positive
18,@OJI_BOLEHJUGA Boleh kak,1157439888062480385,24,2019-08-02 23:55:48,Twitter for iPhone,0,0,Negative
19,@pimenpi https://t.co/0aGPkpX3kr,1157308448729513984,32,2019-08-02 15:13:30,Twitter for iPhone,0,0,Negative
20,MRT Jakarta sudah beroperasi dengan headway normal 10 menit. Terima kasih,1157282856789397505,73,2019-08-02 13:31:48,Twitter for iPhone,6,6,Positive
21,Tim Operasional MRT Jakarta sedang melakukan pemeriksaan untuk memastikan semua kondisi stasiun dan fasilitas MRT J… https://t.co/d0Qw1TcVSg,1157276860599771143,140,2019-08-02 13:07:59,Twitter for iPhone,26,15,Negative
22,"Sehubungan dengan terjadinya gempa bumi pada malam hari ini (2/8/19) yang terasa di Jakarta, bersama ini kami infor… https://t.co/m8cPDCVU8R",1157276858162937856,140,2019-08-02 13:07:58,Twitter for iPhone,37,26,Positive
23,@MarwaziMuh @herman_angran Bisa kak,1157275755262300160,35,2019-08-02 13:03:35,Twitter for iPhone,0,0,Positive
24,@Outstandjing @PT_TransJakarta @CommuterLine Saat ini MRT Jakarta kembali beroperasi normal.,1157275467801432066,92,2019-08-02 13:02:27,Twitter for iPhone,4,2,Positive
25,@akumegame Beroperasi kak,1157271604847452161,25,2019-08-02 12:47:06,Twitter for iPhone,0,0,Positive
26,"Kereta MRT sempat berhenti beroperasi dan sekarang sudah  kembali beroperasi, namun headway terjadi delay 10 menit 43 detik.",1157266822032347137,124,2019-08-02 12:28:06,Twitter for iPhone,123,159,Negative
27,"RT @infoBMKG: #Gempa Mag:7.4, 02-Aug-19 19:03:21 WIB, Lok:7.54 LS,104.58 BT (147 km BaratDaya SUMUR-BANTEN), Kedalaman:10 Km, Potensi tsuna…",1157265416156090369,140,2019-08-02 12:22:30,Twitter for iPhone,0,53534,Negative
28,"@vrilsnubia Mohon maaf atas keterlambatannya, hal tersebut dikarnakan terjadinya gempa sehingga kereta ditahan untu… https://t.co/timuT7DzZp",1157264714545504260,140,2019-08-02 12:19:43,Twitter for iPhone,0,2,Positive
29,"@hutamikusuma1 Mohon maaf atas ketidaknyamanannya, akan kami tindaklanjut kepada divisi terkait.",1157231453450584064,96,2019-08-02 10:07:33,TweetDeck,0,0,Positive
30,@tony_rmm Jika duduk di lantai didenda kak sudah berlaku mulai Agustus 2019,1157178648052432896,75,2019-08-02 06:37:43,Sociomile Care,0,0,Negative
31,"@sipietz Mohon maaf atas ketidaknyamanannya,akan kami sampaikan kepada divisi terkait.",1157175691911106560,86,2019-08-02 06:25:58,TweetDeck,1,0,Positive
32,"Teman MRT, demi meningkatkan kenyamanan seluruh pengguna MRT Jakarta, mari kita bersama-sama saling peduli dengan m… https://t.co/T989SDbyXZ",1157174121526001664,140,2019-08-02 06:19:44,Twitter for iPhone,28,14,Negative
33,@panji_a12i Silakan meminta petugas kami untuk mereset kartu jika masih tidak bisa silakan melapor ke bank yang mengeluarkan kartu.,1157163175847948289,131,2019-08-02 05:36:14,Twitter for iPhone,0,0,Negative
34,@sdwiartono Tidak ada kak,1157134992725512192,25,2019-08-02 03:44:15,Sociomile Care,0,0,Positive
35,"@bismatomy Mohon maaf atas ketidaknyamanannya, akan kami sampaikan kepada divisi terkait untuk bahan evaluasi.",1157105315961135106,110,2019-08-02 01:46:19,Sociomile Care,0,0,Positive
