,tweets
0,"RT @meylisaagustina: Berdasarkan thread dari mas @andzlkrn , saya nyobain kulineran di Psr. Mayestik. 

Ke psr Mayestik gampang2 ribed. Bis…"
1,"RT @sirgunthers: #Krieger

👩🏻: Dimana?
👦🏻: MRT, kenapa ma?
👩🏻: Barusan gempa mama lagi nyuci piring, panci pada goyang
👦🏻: emang gak keluar…"
2,"1. Transjakarta itu udah backbone nya orang buat berpindah tempat, jelas, rute lebih banyak, armada mumpuni, hampir seluruh kawasan terjangkau di banding KRL atau MRT, berarti lebih banyak orang rely on Tije untuk berpindah tempat"
3,"@cagubnyinyir2 @TjahjadiJudono @ToniSugiri @EndiWidjajaK @valencia_amara @Fathir09161697 @3hamdih Jangankan MRT terimbas gempa Banten, sedangkan ibukota negara sudah duluan KENA GEMPA hingga pindah ke Kalimantan"
4,"RT @Bola_Jakarta: Gini nder, menurut data Dinas Lingkungan Hidup Jakarta, 75% polusi di Jakarta adalah sumbangan dari transportasi darat.…"
5,"RT @mrtjakarta: Sehubungan dengan terjadinya gempa bumi pada malam hari ini (2/8/19) yang terasa di Jakarta, bersama ini kami informasikan…"
6,"@alvinlie21 @abi_ranata @aniesbaswedan Pak Alvin. Dengan GaGe yg skrg saja sdh ada perubahan pola transportasi warga.
Mereka yg plat-nya tdk sesuai harinya akan naik MRT, TJ, ComLine. 
Dari rmh naik angkot/ojol ke stasiun/ halte terdekat.
Turun di stasiun/halte terdekat kantornya, lanjut naik ojol/ taxol."
7,"RT @ferizandra: Ada MRT yang praktis &amp; nyaman... disiapkan JakLingko, bus TransJakarta yang terintegrasi dengan feeder bus ber-AC &amp; angkot.…"
8,"Akibat Gempa Banten M 7,4, Operasional MRT Sempat Berhenti 10 Menit https://t.co/DMvEsd37uk https://t.co/lfKrcZXVcB"
9,RT @F_ViviJKT48: Mrt dibaca merantau
10,"Sedangkan di Jakarta cukup 'tap' kartu e-money.
Mau transjakarta, MRT, KRL, bahkan katanya bisa buat naik Jaklingko(angkot)!"
11,[Ternyata naik MRT itu.... Enak wkwk. ]
12,"RT @ngupingyuk: heh!

*di mrt*
a: ""awas loh benci benci lama lama jd cinta kyk gw""
b: ""apaansih anjir lo benci lama lama jd cinta, gw benci…"
13,"RT @alvinlie21: LRT belum siap
MRT masih sangat terbatas
Trans Jakarta juga masih sangat terbatas jangkauan layananannya

Perluasan GaGen h…"
14,"Pertama kali ngerasain MRT... penak yo. 
Coba kalo ada MRT dari kebon jeruk tujuan kemana pun."
15,"Heran, dr bunderan HI ampe bunderan senayan macet nya makin parah aja, smntara di bawah MRT kosong melompong. Orang2 ga pengen manfaatin apa ya? Masih seneng aja macet2an. Trus klo frustasi ngambil jalur busway deh. Edan."
16,kalo yang ini pas di mrt https://t.co/Rl2qf9Is2L
17,"@chintiandrianii dimanakah letak korelasi antara gempa, sby, dan tidak adanya MRT saat jaman beliau?🤔"
18,@fivefeetsprout Aku di mrt itu sampe berenti hahah..hmm kata tmnku ngepas bgt dia sign off ...terasa bgt ga jey di gi?
19,"RT @tempometro: Gempa Banten, Operasional Kereta MRT Normal Kembali https://t.co/weD23Su6Wv"
20,"RT @mtimmr: Daphne Iking. Suara train sebenar MRT, LRT &amp; Komuter 🚊🚈🚇 https://t.co/NXn1DYFrg7"
21,"Tadi pas gempa MRT diberhentikan sementara. Trus masa gak ada kepikiran keluar stasiun, santai nunggu jalan lagi ajah.

Kemudian malam ini malahan bermalam di lt.21.

Dan besok paginya tetep jalan berenang.."
22,"Mantep juga commuter line, mrt pas gempa berenti beberapa saat tapi CL mah gas terus"
23,@Kyla_JKT48 Keluar mrt
24,"RT @Datok_Tamburin: Pukul 11:00 WIB: Rupiah Semakin Lemah ke Rp 14.215/US$ 
https://t.co/BAcKynrtxI

Coba Ngingatin Aja Pak @jokowi 

Jokow…"
25,"Gempa Banten, Operasional Kereta MRT Normal Kembali https://t.co/weD23Su6Wv"
26,"RT @widjokongko: Sumber Lindu di segmen Megathrust Selat Sunda dg potensi M8.7. Ayo berdoa, semoga ini bukan Lindu pembuka/Foreshock. @info…"
27,"@fivefeetsprout Pasti dong yg di senayan itu tinggi bgt kan..td aku di mrt di st asean aja goyang""..haha aron lagi vlive doong hahah"
28,"[QnA] naik mrt pake kartu krl yang isi ulang, bisa ga? bukan yang kartu harian"
29,"RT @cnbcindonesia: Gempa Terasa di Jakarta, MRT Sempat Berhenti 10 Menit https://t.co/3PCvkLbB8A"
30,@mrtjakarta Makasihhh td udh plg naik mrt 🙏🏻
31,"Terus memilih untuk pesen gojek di stasiun mrt HI. Tidak lupa untuk duduk2 sambil melihat lalu lalang orang menyeberang di depan pullman. Jujur seneng. Besok2 beli jajan di GI abis itu makannya di pinggir jalan aja, disarankan saat hari sudah gelap saja sih tapi~"
