,tweets
0,"@RMaurdya Karunya teu bisa naekeun bbm, naekeun harga mobil motor, ngan saukur bisa naekeun harga parkir😄😃, murahkeun mobil/motor listrik ke 😄😃, genjot fasilitas mrt krl kmaha carana org jdi teu pke sumber polusi,  pabrik2 dll cek emisi? Byar pajak udara bersih mun pabrik ngotoran"
1,"@PurwonoAgus2 @mochamadarip pemimpin sudah siapkan semua sarana pendukung, jika masyarakatnya benar2 peduli dan menginginkan udara bersih ya gunakan trasportasi umum tersebut. MRT murah, keretapi ada, bus way tesebar."
2,"Mau bebas polusi masih aja naek motor knalpot racing,naek mobil boros anj,mending lu tuh pada naek kereta,busway,mrt ya walaupun desek""an seengganya kan bisa ngurangin polusi,jangan ngoceh kalo mao udara bersih masih naek motor"
3,RT @JagaMrt: Pulang kantor ga macet. Asiknya pake MRT yg bersih dan tertib. semoga warga jakarta bs menjaga fasilitas dr uang pajak kita @m…
4,"@AMvanny Owalaaa tapi itu di avanya enak naik mrt masih bersih baru sama nyaman, bukan commuterline yang dahulu di naikki wkwk:p"
5,Pulang kantor ga macet. Asiknya pake MRT yg bersih dan tertib. semoga warga jakarta bs menjaga fasilitas dr uang pajak kita @mrtjakarta #jagaMRT #atta #SantaiAja https://t.co/OnzVoPw1NP
6,"@nirmayuliansyah @panca66 @TheArieAir @SuaraAnies @awemany Maha hebat Anies dengan 2 tahunnya dapat penghargaan.
MRT,LRT selesai.
Sungai2 bersih.
Jakarta bersih dari sampah.
Jakarta sesegar udara puncak.
Ok Oce meningkatkan taraf hidup sobat misqueen.
DP 0% buat penduduk misqueen.

Next.
Pulau reklamasi selesai.

🤣🤣🤣🤣🤣"
7,"@Ariijkaard @SuaraAnies Dibaca ya smp tuntas. Kerja itu tmsuk bwt fondasi, bkn sekedar bangunan doang. Dan ga cuma ITF, tp jg soal kjp, kjs, eapbd, pasukan pelangi, ptsp, qlue, eksekusi lrt/mrt, itu jg soal yg ga kalah penting. Keberhasilan itu jgn lupa diliat kalo emg niat lu bersih mau jujur nilai 😁"
8,"Mari naik MRT! 
Peraturan yang ada di MRT menjaga MRT tetap rapih dan bersih. Banyak yg gembira dg fasilitas ini, bagi saya pribadi berharap semoga makin sering naik MRT makin tahu diri.  Mengapa? MRT tidak hanya... https://t.co/9webNGvoOd"
9,"RT @ngabdul: Kenapa pemerintah (pusat dan daerah) mau keluar uang begitu banyak buat subsidi dan investasi transpor publik (BRT, MRT) tapi…"
10,"@GunRomli @aniesbaswedan Begini aja deh, masukanmu apa spy udara jakarta jadi lebih bersih? 
Atau gimana kita mulai dari kamu &amp; PSI pergi kemana2 di jkt pake kendaraan umum, MRT, Bus TJ, atau bila perlu bersepeda, itu baru jempolan. 
Disisi lain bisa berhemat utk beli kuota, tdk perlu nunggu dropingan"
11,"MRT - First Impression 

Keren sih bersih dan rapi,  berasa seperti di Singapore ( katanya)  gw belum pernah soalnya ke Singapore hehehehe. 

. 
. 
. 

Tapi setiap memandang kesana kemari iklan semua mulai dari… https://t.co/tTpANjxf7B"
12,"Kenapa pemerintah (pusat dan daerah) mau keluar uang begitu banyak buat subsidi dan investasi transpor publik (BRT, MRT) tapi tidak buat subsidi dan investasi penyediaan air bersih? Biar air tanah tak disedot terus.. https://t.co/Shkw7x8FM4"
13,"Iya sih MRT lbh bersih&amp;keren..
Cm ni isinya rame orang kya pada tamasya, lucu aja
Mang sih mehong dikit 14rb ktanya.
Tp brangkatnya on-time!"
14,"Sebenarnya ada sesuatu yg lbh besar utk kepentingan Bangsa &amp; Negara dlm diplomasi MRT &amp; Nasi Goreng, yaitu menyelamatkan 4 Pilar dr Radikalisme Ideologi Asing yg telah menguasai benak sebagian Pejabat Negara &amp; BUMN. Ini hrs disapu bersih dr dlm bukan dr luar."
15,"Bersih sebersih hatimu .... 

#malamminggu 
#mrt https://t.co/7dR6AOkRTn"
16,"@askmenfess klo MRT s1ngap0re pernah, bersih dan tertata lah 

+ nya ya berAC yg pasti dan gk unyel2an bersih juga yg pasti.
- nya lumayan rame, apalagi klo jam kerja biyuh udah kek rombongan zombie di train to busan gt dah jd cepet2an bikin males"
