,0,1
0,nan,tweets
1,00,"RT @meylisaagustina: Berdasarkan thread dari mas @andzlkrn , saya nyobain kulineran di Psr. Mayestik. 

Ke psr Mayestik gampang2 ribed. Bis…"
2,10,"RT @sirgunthers: #Krieger

👩🏻: Dimana?
👦🏻: MRT, kenapa ma?
👩🏻: Barusan gempa mama lagi nyuci piring, panci pada goyang
👦🏻: emang gak keluar…"
3,20,"1. Transjakarta itu udah backbone nya orang buat berpindah tempat, jelas, rute lebih banyak, armada mumpuni, hampir seluruh kawasan terjangkau di banding KRL atau MRT, berarti lebih banyak orang rely on Tije untuk berpindah tempat"
4,30,"@cagubnyinyir2 @TjahjadiJudono @ToniSugiri @EndiWidjajaK @valencia_amara @Fathir09161697 @3hamdih Jangankan MRT terimbas gempa Banten, sedangkan ibukota negara sudah duluan KENA GEMPA hingga pindah ke Kalimantan"
5,40,"RT @Bola_Jakarta: Gini nder, menurut data Dinas Lingkungan Hidup Jakarta, 75% polusi di Jakarta adalah sumbangan dari transportasi darat.…"
6,50,"RT @mrtjakarta: Sehubungan dengan terjadinya gempa bumi pada malam hari ini (2/8/19) yang terasa di Jakarta, bersama ini kami informasikan…"
7,60,"@alvinlie21 @abi_ranata @aniesbaswedan Pak Alvin. Dengan GaGe yg skrg saja sdh ada perubahan pola transportasi warga.
Mereka yg plat-nya tdk sesuai harinya akan naik MRT, TJ, ComLine. 
Dari rmh naik angkot/ojol ke stasiun/ halte terdekat.
Turun di stasiun/halte terdekat kantornya, lanjut naik ojol/ taxol."
8,70,"RT @ferizandra: Ada MRT yang praktis &amp; nyaman... disiapkan JakLingko, bus TransJakarta yang terintegrasi dengan feeder bus ber-AC &amp; angkot.…"
9,80,"Akibat Gempa Banten M 7,4, Operasional MRT Sempat Berhenti 10 Menit https://t.co/DMvEsd37uk https://t.co/lfKrcZXVcB"
10,90,RT @F_ViviJKT48: Mrt dibaca merantau
11,100,"Sedangkan di Jakarta cukup 'tap' kartu e-money.
Mau transjakarta, MRT, KRL, bahkan katanya bisa buat naik Jaklingko(angkot)!"
12,110,[Ternyata naik MRT itu.... Enak wkwk. ]
13,120,"RT @ngupingyuk: heh!

*di mrt*
a: ""awas loh benci benci lama lama jd cinta kyk gw""
b: ""apaansih anjir lo benci lama lama jd cinta, gw benci…"
14,130,"RT @alvinlie21: LRT belum siap
MRT masih sangat terbatas
Trans Jakarta juga masih sangat terbatas jangkauan layananannya

Perluasan GaGen h…"
15,140,"Pertama kali ngerasain MRT... penak yo. 
Coba kalo ada MRT dari kebon jeruk tujuan kemana pun."
16,150,"Heran, dr bunderan HI ampe bunderan senayan macet nya makin parah aja, smntara di bawah MRT kosong melompong. Orang2 ga pengen manfaatin apa ya? Masih seneng aja macet2an. Trus klo frustasi ngambil jalur busway deh. Edan."
17,160,kalo yang ini pas di mrt https://t.co/Rl2qf9Is2L
18,170,"@chintiandrianii dimanakah letak korelasi antara gempa, sby, dan tidak adanya MRT saat jaman beliau?🤔"
19,180,@fivefeetsprout Aku di mrt itu sampe berenti hahah..hmm kata tmnku ngepas bgt dia sign off ...terasa bgt ga jey di gi?
20,190,"RT @tempometro: Gempa Banten, Operasional Kereta MRT Normal Kembali https://t.co/weD23Su6Wv"
21,200,"RT @mtimmr: Daphne Iking. Suara train sebenar MRT, LRT &amp; Komuter 🚊🚈🚇 https://t.co/NXn1DYFrg7"
22,210,"Tadi pas gempa MRT diberhentikan sementara. Trus masa gak ada kepikiran keluar stasiun, santai nunggu jalan lagi ajah.

Kemudian malam ini malahan bermalam di lt.21.

Dan besok paginya tetep jalan berenang.."
23,220,"Mantep juga commuter line, mrt pas gempa berenti beberapa saat tapi CL mah gas terus"
24,230,@Kyla_JKT48 Keluar mrt
25,240,"RT @Datok_Tamburin: Pukul 11:00 WIB: Rupiah Semakin Lemah ke Rp 14.215/US$ 
https://t.co/BAcKynrtxI

Coba Ngingatin Aja Pak @jokowi 

Jokow…"
26,250,"Gempa Banten, Operasional Kereta MRT Normal Kembali https://t.co/weD23Su6Wv"
27,260,"RT @widjokongko: Sumber Lindu di segmen Megathrust Selat Sunda dg potensi M8.7. Ayo berdoa, semoga ini bukan Lindu pembuka/Foreshock. @info…"
28,270,"@fivefeetsprout Pasti dong yg di senayan itu tinggi bgt kan..td aku di mrt di st asean aja goyang""..haha aron lagi vlive doong hahah"
29,280,"[QnA] naik mrt pake kartu krl yang isi ulang, bisa ga? bukan yang kartu harian"
30,290,"RT @cnbcindonesia: Gempa Terasa di Jakarta, MRT Sempat Berhenti 10 Menit https://t.co/3PCvkLbB8A"
31,300,@mrtjakarta Makasihhh td udh plg naik mrt 🙏🏻
32,310,"Terus memilih untuk pesen gojek di stasiun mrt HI. Tidak lupa untuk duduk2 sambil melihat lalu lalang orang menyeberang di depan pullman. Jujur seneng. Besok2 beli jajan di GI abis itu makannya di pinggir jalan aja, disarankan saat hari sudah gelap saja sih tapi~"
33,320,"Satu satunya tempat berlindung yang aman saat terjadi gempa dan kamu sedang di kawasan Sudirman:

Tunnel MRT.

Pada siapa mohon perlindungan? Tower-tower berterbangan."
34,330,"@PembelaNegri @NegriKhayangan @aniesbaswedan @SuaraAnies Mas ngebangun itu ada proses. Solusinya ada, targetnya ada, prosesnya uda berjalan. Apa itu? LRT, MRT, ERP (yg skrg jd kebijakan Gub DKI utk pelaksanaannya, dmn dl nya Jokowi Ahok yg awal memulai). Emang tukang sulap lgsg ada? Nah sm kt jg nunggu solusi yg dipersiapkan anies."
35,340,@aisyyyyyaaaaaaa Lol i tergelak dlm mrt 😂😂😂😂😂😂
36,350,@gijasaurus ITU MRT WKWKWKWKWKWK
37,360,Kalau la aku kurus macam ni..... hari hari balik kolej naik mrt free je. Kahkah https://t.co/3I1B30HnQr
38,370,"LRT belum siap
MRT masih sangat terbatas
Trans Jakarta juga masih sangat terbatas jangkauan layananannya

Perluasan GaGen hanya akan untungkan pengusaha:
1. Taxi;
2. Taxi-On-Line;
3. Ojek-On-Line

https://t.co/5LYI8gNVvo"
39,380,@balqisoxaliaa Lagi di MRT donggg td pas gempa:((((
40,390,"Bisa²nya kita ber3 gak kerasa gempa, padahal yang laen pada panik :( Apa gra² lagi turun tangga di MRT ya. Bener² gk kerasa :("
41,400,"@AzzFadh Ane pernah liat di mana gitu, proyek bangunan atau MRT ya... lupa hehe"
42,410,Yang kena gempa lg di basement stasiun mrt gmn ya? Kerasa gak? @askmenfess
43,420,"Pas gempa tadi w lagi di MRT bawah tanah. Dan berenti bukan distasiun. Didalem otak gue udahlah roboh kaya difilm film. Lalu celingak celinguk cari temen yg kukenal di kereta, biar klo ada apa apa w ga sendirian. Eh galama mrtnya jalaaan"
44,430,"RT @mrtjakarta: Kereta MRT sempat berhenti beroperasi dan sekarang sudah  kembali beroperasi, namun headway terjadi delay 10 menit 43 detik."
45,440,@_4L1Y4 naik mrt je la bang. dtg damansara. kan senang. haih.
46,450,@sukaesgrem Macamaaa 😘 eh kamu mau ke jkt gis? Kapaan? Boleh dong ketemu apinnnn. Btw kalau mau naik MRT juga bisa dr HI turun di istora
47,460,"@RMaurdya Karunya teu bisa naekeun bbm, naekeun harga mobil motor, ngan saukur bisa naekeun harga parkir😄😃, murahkeun mobil/motor listrik ke 😄😃, genjot fasilitas mrt krl kmaha carana org jdi teu pke sumber polusi,  pabrik2 dll cek emisi? Byar pajak udara bersih mun pabrik ngotoran"
48,470,"RT @boygeonfroy: Pengen naik mrt,,"
49,480,"@ayeeesthethic the power of panik sih hahahha, di krl gapapa kan ya tapi? aku ada baca tweet mrt mati gitu beneran gak sih ?"
50,490,"Pengen naik mrt,,"
51,500,RT @mrtjakarta: MRT Jakarta sudah beroperasi dengan headway normal 10 menit. Terima kasih
52,510,RT @martua_sianturi: @HokGie_ @kumparan @mrtjakarta @DKIJakarta @aniesbaswedan Saya tadi lagi di stasiun MRT pas kejadian gempa. Diinfokan…
53,520,"RT @jokowi: Goresan pertama cucuk canting pada kain batik sepanjang 74 meter di peron Stasiun MRT Bundaran HI, siang ini, sebagai tanda dim…"
54,530,Later grab driver ajak bbl lakkkk 🤦🏽‍♀️ mrt jela qa
55,540,"@tomi_hermawan @jansen_jsp @basuki_btp Prabowo sdh naik mrt ... kalah  ya  kalah 

Jadi kampret lagi 5 thn lagi."
56,550,"@MarikaRahman_ @Matahatikoe_ @aniesbaswedan @jokowi ngeles mlh kliatan dungu mbak. cb tny k mukriwi dia bolak balik naik mrt dr mna dan mo kmn!
yg gk bs krj dn gk bs ngomg justru si mukriwi loh. bsny anu2. kita warga DKI skrg sungguh bhgia mmpunyai p.anis"
57,560,@HokGie_ @kumparan @mrtjakarta @DKIJakarta @aniesbaswedan Saya tadi lagi di stasiun MRT pas kejadian gempa. Diinfokan 5 menit setelah kejadian kok bahwa operasional berhenti sejenak karena ada gempa.
58,570,"Ada Gempa, Begini Nasib Penumpang dan Operasional MRT https://t.co/H15VOTkj7r"
59,580,"MRT Jakarta Mendadak Berhenti Saat Gempa 7,4 SR #uzoneID https://t.co/8cOjYB5BjA"
60,590,"Model: Used Google Pixel 2XL 64gb Panda🐼
(FULLSET- Box, Fast charge adapter and cable, manual book)
Condition 9/10
Rm1250
Warranty: Sebulan
Cod percuma: Bangi Gateway
Cod berbayar: RM29 stesen ktm/lrt/mrt
Pos J&amp;T: RM10 Semenanjung &amp; RM20 S/Sarawak https://t.co/Fy9rzvd6fW"
61,600,Perjalanan MRT dan KA Jarak Jauh Terhenti Akibat Gempa di Banten https://t.co/hZMcDrG5z2 https://t.co/g4Ambff4ed
62,610,Tadi gempa trs gue tbtb mikir; 'yg lg pd nntn bioskop gmn ya?' 'yg lg di MRT sm di KRL gimana ya?'
63,620,"Di pantai gempa tektonik, di gunung gempa vulkanik. Ada satu gempa lagi, gempa MRT !"
64,630,"Apasal kat MRT pun ada terngiang ngiang bunyi anak babi whining, aku dah trauma dengan bunyi anak babi. Hahaha"
65,640,"@NKR_Internet Menggunakan uang negara untuk hal yang lebih penting drpd mrt jakarta
Seperti kota"" wilayah timur indonesia yg  butuh peningkatan"
66,650,@FerdinandHaean2 @Julian303 anda ke kantor naik mobil pribadi apa transjakarta / mrt… jawab jujur…
67,660,"RT @detikcom: #BreakingNews Operasional MRT Jakarta sempat berhenti usai gempa. Kini, operasional sudah kembali normal. #mrt #gempa #bmkg…"
68,670,@AskRapidKL boleh tahu bus T103 akan bergerak jam berapa dari MRT sungai buloh?
69,680,"RT @detikcom: Guncangan gempa M 7,4 Banten juga dirasakan warga Jakarta yang sedang menumpangi MRT. https://t.co/2NZbY7HC7d"
70,690,"RT @cnbcindonesia: Gempa Guncang Jakarta, Bikin Kereta MRT Delay https://t.co/bhjOxfTF40"
71,700,"RT @IrpanPadillah: Goresan pertama cucuk canting pada kain batik sepanjang 74 meter di salah satu peron Stasiun MRT Bundaran HI, Jakarta ht…"
72,710,"RT @kumparan: Tiba-tiba, MRT berhenti tanpa sebab. Tak ada pemberitahuan juga terkait penyebab berhentinya MRT saat itu. #gempa https://t.c…"
73,720,@azureeeeen Kalau kau kerja antara lrt ngan mrt kau mesti rasa bersyukur byk kerja kat mrt 😅
74,730,Naik mrt kene redah damansara kot. Penat oi. Mau sejam lebih.
75,740,"Gempa Guncang Jakarta, Bikin Kereta MRT Delay https://t.co/bhjOxfTF40"
76,750,"kalo parkir naik, pajak naik, maka org simpan mobil di rumah dan enak naik MRT atau jalan sehat...sayangnya org melayu utamanya org kita msh suka naik mobil, suka pamer, malas jalan kaki... https://t.co/EUmFjn99nq"
77,760,@optimushwangcim Sesungguhnya kalo ke taichan yang mesen temen aku sih. Aku tinggal makan doang. Posisinya tuh di yang paling belakang deket perbatasan yang ada warung di baliknya (?) Duh aku terakhir ke sana jaman mrt masih dibangun 😭😭😭
78,770,Suasana MRT jakarta pasca gempa 7.4 SR di Banten https://t.co/WhnHEDoJnF
79,780,"MRT perlukan perhatian pula malam ni... 
Silalah bergerak 😅"
80,790,ni mrt ke sauna
81,800,"Sesaat sebelum gempa, aku pikir stasiun MRT memang bergoyang kalau kita ada di bawahnya. Saya sedang berpose di MRT Cipete Raya ikut mendoakan semoga semua dalam keadaan baik-baik saja, selamat, sejahtera dan sentosa. Aaammmiiiin.

@mrtjkt 

#gempa
#mrt https://t.co/8gJs7civkq"
82,810,"@effx8 Aah, nak naik MRT. Kajang dia announce, nasib baik. Haha"
83,820,@hafizuddingh Tengok live location kat mana. Naik MRT ke dekat Kajang?
84,830,hari ini merasakan menjadi tynakanna (dan mungkin influencer2 lainnya) yang kalo ada event di pi/gi naik mrt; lengkap dengan pakaian rapih (yg ternyata panas bgt) &amp; heels (YG TERNYATA PEGEL BGT) 🙂🙂🙂
85,840,"🐸 : Ini dapet assignment dari Pak Park, buat nyebarin dan ngumpulin kuisioner untuk para pengguna MRT
🙋 : Lah, bukan bagian gue itu sih, gak ngerti guenya
🐸 : Temenin doang, sama ngasih kuisioner aja udah. Gue anter jemput, kasih makan, kasih sayang
🙋 : ...
🐸 : Please..."
86,850,"🐸 : Wo iya, Seungwoo. 
🙋 : Ada apa bujank? Tumben chat, ada maunya nih? 
🐸 : Besok temenin ke stasiun MRT
🙋 : Boss, moon maap besok weekend kan ya? :)
🐸 : Plis, ini dihitung lembur kok
🙋 : Harus sama gue banget Gyul? :(
🐸 : Gue maunya sama elo. Please
🙋 : Ngapain sih? https://t.co/5JGykfxaUL"
87,860,"Hari ini pake semua transportasi umum ya transjkt, mrt, krl, grab gempor kakinya."
88,870,@detikcom padahal tadi pas gempa ada di dalam MRT nih. Tara berasa euy.
89,880,@yoonspedia Ga diberhentiin?? MRT sm busway katanya diberhentiin
90,890,"Pasca Gempa, MRT Kembali Beroperasi  https://t.co/8zPkK7Lxm2"
91,900,"Operasional MRT sempat terhenti akibat gempa, kini normal kembali https://t.co/KOu0EH4f6T"
92,910,"Aneh bgt naik mrt cuma dari benhil ke setiabudi, pake kaos, sendal jepit, nenteng styrofoam dibungkus plastik (ok guys i kno its no good for our environment but) im literally the ugliest mrt passanger in town"
93,920,"Sempat Berhenti, Operasional MRT Kembali Normal Usai Gempa https://t.co/EexqPeKxfu"
94,930,@framadhans1 Stasiun mrt mbak wkwkw
95,940,@Chili_Mathobo @TedPhaladi 😂🤣ri do lwa mungana
96,950,"@kevinmoontbz Di kapsul hotel di Jalan Besar sih.. agak jauh juga dari The Star tuh tp gpp hotelku deket stasiun MRT sama halte untungnya, moga ga lupa jalan kesana 😅😅 pls saling kabar2i ya nanti disana kita kudu meet up pokoknyaaa"
97,960,Ngeri juga pas gempa posisi lagi di mrt bawah tanah
98,970,"Segaenak itu tadi ada mba-mba ga sengaja nyenggol kuah soto ampe tumpah kena jeans di mana aing spontan nyeletuk, ""BANGKONG!"" Dan kedengeran mbanya.

Eh ini di MRT ada mba-mba duduk sebelah terus sepatunya ngotorin celana aing, minta maaf aja engga.

Ingin marah, tapi buat apa."
99,980,@drugxdylan Rm suga et jk
100,990,RT @F_ViviJKT48: Aku abis cek up kaki lagi👋🏻 skrg Mau jln jln naik mrt sm mom and dad💙💚❤️🧡 yey naik kereta
101,1000,RT @kumparan: Pengecekan dilakukan untuk memastikan keamanan MRT Jakarta saat digunakan. https://t.co/HC7woJK1vB
102,1010,"Kebodohan Ojan the series.
Tap gate MRT pake KTP.

Pantes bunyi mulu :( https://t.co/wBplLFVheh"
103,1020,"Gempa Banten, Penumpang Lihat Kabel di Atas MRT Ikut Bergoyang https://t.co/nOiIsEMTdH https://t.co/6jjA7CMLVf"
104,1030,@askmenfess Lagi di mrt. Terus mrt nya ketahan sumpah serem bgt
105,1040,"#BreakingNews Operasional MRT Jakarta sempat berhenti usai gempa. Kini, operasional sudah kembali normal. #mrt #gempa #bmkg  https://t.co/DmrjxoFvEZ"
106,1050,"Goresan pertama cucuk canting pada kain batik sepanjang 74 meter di salah satu peron Stasiun MRT Bundaran HI, Jakarta https://t.co/lkoQ9n20rq"
107,1060,"Bahana On MRT Stage lagi nihh!!!
Jumat kali ini nyanyi-nyanyi di Stasiun MRT Dukuh Atas bareng sama THE RAIN! Yeaayy!
.
Absen dong tadi siapa aja nih teman bahana yang ikut seru-seruan bareng @therainband ?? Gimana… https://t.co/5lkHJoC3ac"
108,1070,"Usai Gempa, MRT Kembali Berjalan Normal https://t.co/AXF4ixA4Hz https://t.co/0u6jlcNwRF"
109,1080,"#Repost from @batikperdamaian (repost_media_app)
Kemarin tanggal 1 Agustus 2019, di stasiun MRT Bundaran HI, Bapak Presiden Joko Widodo dan Ibu Iriana menorehkan “Malam” pertama pada kain… https://t.co/g4PNsNb5IA"
110,1090,"@ktm_berhad Salam sejahtera, sorry lari tajuk.. train dari rawang ke mrt sebelah pagi berapa trip? Dalam lingkuan jam berapa?"
111,1100,Layanan MRT Sempat Terhenti saat Gempa Banten https://t.co/E4G1k8Aijp https://t.co/jZBap8qnCv
112,1110,RT @mrtjakarta: Tim Operasional MRT Jakarta sedang melakukan pemeriksaan untuk memastikan semua kondisi stasiun dan fasilitas MRT Jakarta d…
113,1120,Yg lagi di MRT jalur bawah tanah pas gempa td apa yg di rasa ya?
114,1130,@exelflores21 @aniesbaswedan ngaruh lah.. biar pada mikir kaga bawa kendaraan pribadi.. biar pada naek kendaraan umun. comuter.. bus.lrt. mrt
